"projectId","companyId","stage","priority","owner","intentionType","intendedArea","nextFollowUp","notes","contractStatus","contractNumber","contractAmount","depositAmount","depositPaidDate","balanceAmount","balanceDueDate","paymentStatus","contractNotes","boothType","boothMaterials","subsidyMaterials","rentals","isGroupTour","groupTravel","businessOwner","intentionData","followUps","payments","booths","executionUnlocked","subsidyEnabled","profitData","contractData","updatedAt"
"1784007566257","1784001020425","已联系","高","高荣桂","中国展团标准展位","18","","已交定金，P2D","未签订","","","20000","","0","","部分付款","","中国区标准展位","{}","{}","[]","false","{}","联能","{}","[]","[{""id"":-1784001020425,""amount"":20000,""date"":"""",""method"":""历史收款"",""source"":""意向定金"",""stage"":""合同阶段"",""purpose"":""意向定金"",""status"":""有效"",""serial"":"""",""verified"":true,""notes"":""由旧版已付款金额自动迁入，保存后转为统一付款记录"",""createdAt"":""""}]","[{""id"":-1784001020425,""hall"":""C6"",""number"":"""",""area"":18,""type"":""中国区标准展位"",""openings"":""待确认"",""notes"":""""}]","false","false","{}","{}","2026-07-19T03:51:52.207Z"
"1784007566257","1784003370068","已联系","高","","光地展位","","2026-07-20","景雪已收定金，待确认展位签订合同","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","联能","{}","[]","[]","[]","false","false","{}","{}","2026-07-17T04:35:13.456Z"
"1784007566257","1784004747867","已联系","高","","中国展团标准展位","9","2026-07-31","等待后续看是否参加","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","新丝路","{}","[]","[]","[]","false","false","{}","{}","2026-07-14T15:26:11.176Z"
"1784007566257","130","已联系","高","Catherine","中国展团标准展位","","2026-07-20","报价以后给陈俊5000代理费，剩余的费用，我们和联能平分","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","新丝路","{}","[{""id"":1784167600091,""date"":""2026-07-16 02:06"",""method"":""微信"",""content"":""报价以后给陈俊5000代理费，剩余的费用，我们和联能平分"",""feedback"":"""",""nextDate"":"""",""person"":""新丝路"",""createdAt"":""2026-07-16T02:06:40.091Z""},{""id"":1784167599168,""date"":""2026-07-16 02:06"",""method"":""微信"",""content"":""报价以后给陈俊5000代理费，剩余的费用，我们和联能平分"",""feedback"":"""",""nextDate"":"""",""person"":""新丝路"",""createdAt"":""2026-07-16T02:06:39.168Z""},{""id"":1784167598490,""date"":""2026-07-16 02:06"",""method"":""微信"",""content"":""报价以后给陈俊5000代理费，剩余的费用，我们和联能平分"",""feedback"":"""",""nextDate"":"""",""person"":""新丝路"",""createdAt"":""2026-07-16T02:06:38.490Z""},{""id"":1784167229811,""date"":""2026-07-16 02:00"",""method"":""微信"",""content"":""跟景雪沟通，按照跟中展相同价格定价，54000单开；景雪建议不讲价，送一个立方的运输，运输成本大概在1500左右"",""feedback"":"""",""nextDate"":"""",""person"":""新丝路"",""createdAt"":""2026-07-16T02:00:29.811Z""}]","[]","[]","false","false","{}","{}","2026-07-17T04:35:22.870Z"
"1784007566257","1784011960036","已联系","中","","光地展位","30","","沟通过多次，确认补贴和申请信息","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","新丝路","{}","[]","[]","[]","false","false","{}","{}","2026-07-14T15:26:13.552Z"
"1784007566257","1784012399633","未联系","中","","中国展团标准展位","9","","","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","新丝路","{}","[]","[]","[]","false","false","{}","{}","2026-07-14T15:26:22.792Z"
"1784007566257","1784003761279","已联系","高","陆昀","光地展位","","2026-07-20","晚霞跟因湃沟通了，让走新丝路补贴，需要因湃确认后，我这边要录入他们供应商系统","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","联能","{}","[{""id"":1,""date"":""2026-07-16 05:27"",""method"":""微信"",""content"":""晚霞跟因湃沟通了，让走新丝路补贴，需要因湃确认后，我这边要录入他们供应商系统"",""feedback"":"""",""nextDate"":""2026-07-15"",""person"":""联能"",""createdAt"":""2026-07-16T05:27:51.934Z""}]","[]","[]","false","false","{}","{}","2026-07-16T06:55:53.802Z"
"1784007566257","10","已联系","中","新丝路","中国区标准展位","9","","感觉中国企业太多了；不清楚领导会不会再安排参加","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","新丝路","{""hall"":"""",""position"":"""",""openings"":""暂未确定"",""independent"":false,""jointAccepted"":false,""groupStandard"":false,""productCategory"":"""",""people"":"""",""groupNeed"":false,""subsidyNeed"":false,""specialRequirements"":"""",""requirementNotes"":"""",""expectedAmount"":"""",""price"":"""",""specialPrice"":false,""quoteDate"":"""",""validUntil"":"""",""depositStatus"":""未支付"",""depositAmount"":"""",""depositDate"":"""",""depositMethod"":"""",""depositAccount"":"""",""depositSerial"":"""",""depositVerified"":false,""depositNotes"":"""",""boothQuantity"":"""",""boothQuantityReason"":"""",""otherIntentionType"":"""",""groupNeedStatus"":""待确认"",""subsidyNeedStatus"":""待确认""}","[{""id"":1784088375655,""date"":""2026-07-15 04:06"",""method"":""微信"",""content"":""感觉中国企业太多了；不清楚领导会不会再安排参加"",""feedback"":"""",""nextDate"":"""",""person"":""徐旺"",""createdAt"":""2026-07-15T04:06:15.655Z""}]","[]","[]","false","false","{}","{}","2026-07-15T04:06:31.583Z"
"1784007566257","48","未联系","中","新丝路","","","","","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","新丝路","{""hall"":"""",""position"":"""",""openings"":""暂未确定"",""independent"":false,""jointAccepted"":false,""groupStandard"":false,""productCategory"":"""",""people"":"""",""groupNeed"":false,""subsidyNeed"":false,""specialRequirements"":"""",""requirementNotes"":"""",""expectedAmount"":"""",""price"":"""",""specialPrice"":false,""quoteDate"":"""",""validUntil"":"""",""depositStatus"":""未支付"",""depositAmount"":"""",""depositDate"":"""",""depositMethod"":"""",""depositAccount"":"""",""depositSerial"":"""",""depositVerified"":false,""depositNotes"":"""",""boothQuantity"":"""",""boothQuantityReason"":"""",""otherIntentionType"":"""",""groupNeedStatus"":""待确认"",""subsidyNeedStatus"":""待确认""}","[]","[]","[]","false","false","{}","{}","2026-07-17T09:49:33.600Z"
"1784007566257","643","已联系","中","联能","光地展位","100","2026-07-20","晚霞沟通后，主要是公司对于更换代理的疑问，我这边已经把粤贸全球的25/26的红头文件发给了晚霞，再继续跟进","未签订","","","","","","","未收款","","待确认","{}","{}","[]","false","{}","联能","{""hall"":"""",""position"":"""",""openings"":""暂未确定"",""independent"":false,""jointAccepted"":false,""groupStandard"":false,""productCategory"":"""",""people"":"""",""groupNeed"":false,""subsidyNeed"":false,""specialRequirements"":"""",""requirementNotes"":"""",""expectedAmount"":"""",""price"":"""",""specialPrice"":false,""quoteDate"":"""",""validUntil"":"""",""depositStatus"":""未支付"",""depositAmount"":"""",""depositDate"":"""",""depositMethod"":"""",""depositAccount"":"""",""depositSerial"":"""",""depositVerified"":false,""depositNotes"":"""",""boothQuantity"":"""",""boothQuantityReason"":"""",""otherIntentionType"":"""",""groupNeedStatus"":""待确认"",""subsidyNeedStatus"":""待确认""}","[{""id"":1784168149812,""date"":""2026-07-16 02:15"",""method"":""微信"",""content"":""晚霞沟通后，主要是公司对于更换代理的疑问，我这边已经把粤贸全球的25/26的红头文件发给了晚霞，再继续跟进"",""feedback"":"""",""nextDate"":"""",""person"":"""",""createdAt"":""2026-07-16T02:15:49.812Z""}]","[]","[]","false","false","{}","{}","2026-07-17T04:35:34.634Z"
